Tag,qid_highest,Highest_Question_Rating,qid_lowest,Lowest_Question_Rating
100-continue,879120,2,848378,0
10g,589043,1,589043,1
11g,704272,0,704272,0
12,903994,2,903994,2
128-bit,741301,1,741301,1
12bit,832932,4,832932,4
141,769564,1,769564,1
16bit,960158,3,755447,0
2005,811940,3,949435,0
2007,852068,0,852068,0
2008,811940,3,703074,0
2009,904356,7,904356,7
2038,839755,4,839755,4
24-bit,742236,2,839257,0
2d,667034,9,585879,0
2d-array,732684,4,766590,0
2û0,666056,3,665336,-3
2û3û2,663893,2,679313,1
2û5û2,680207,0,680207,0
3,806118,0,806118,0
3-tier,907240,3,838236,1
301,686017,2,696446,0
301-redirect,686017,2,569402,0
304,691318,1,924456,0
32bit,589057,5,595049,0
37-signals,619192,1,619192,1
3d,720578,8,586232,0
3d-games,928925,3,928925,3
3d-studio,757145,0,757145,0
3dcamera,754060,1,754060,1
3dgraphics,720578,8,577888,0
3dxml,596666,2,596666,2
3gp,580392,0,580392,0
3nf,880734,2,729837,1
3rd-party-controls,807545,1,807545,1
3rd-party-library,666597,5,721698,0
3rdparty,762450,2,762450,2
3û0,607530,2,746393,0
3û5,632587,2,604755,0
401,694135,4,581090,0
404,679962,3,583922,0
4d,577516,1,808017,0
4gl,851797,0,851797,0
4k,859082,2,859082,2
4nf,729837,1,729837,1
4û0,894543,3,894543,3
500,698740,0,698740,0
500-error,679962,3,573325,0
503,703702,3,612242,2
5th-generation-langs,644915,1,644915,1
5û0û12,700779,0,700779,0
64bit,607322,9,704066,-1
68hc12,758051,2,758051,2
7zip,619910,0,619910,0
80-column,845222,1,845222,1
8051,745544,4,899633,3
9,845340,0,845340,0
960,589184,5,865390,0
9û0,709303,0,709303,0
a-records,663142,1,663142,1
a-star,796384,3,789853,0
a2p,767270,1,767270,1
a4j,868916,1,673670,0
aac,836842,1,804552,0
aam,701096,2,701096,2
aasm,682920,2,635129,0
ab-testing,752919,1,778374,0
abap,613349,3,626932,0
abbreviation,914032,3,842999,1
abc,672367,0,672367,0
abcpdf,756127,7,608724,0
abi,612443,10,827862,2
abiword,658833,1,658833,1
abort,879896,5,898901,0
aborted,806229,0,806229,0
aborting,673031,0,673031,0
about,585679,0,744153,-3
about-box,738192,5,738192,5
absolute,904046,1,636959,0
absolute-path,900143,1,567590,0
absolute-positioning,654134,7,709151,0
absolute-value,749549,1,667180,0
abstract,641536,4,619278,-4
abstract-class,761194,11,616808,0
abstract-syntax-tree,911930,6,905438,2
abstractapplicationcontex,957769,2,957769,2
abstraction,568671,20,603174,0
abstraction-violations,597353,0,597353,0
abuse,572113,28,572113,28
academia,573254,14,800473,0
academic,946580,3,742492,1
academic-interest,887616,1,665609,0
accelerator,721600,0,721600,0
accelerometer,651630,2,722600,0
accent,659076,2,659076,2
accents,773054,2,609676,0
accept,584423,0,584423,0
acceptance,934077,0,934077,0
acceptance-testing,832403,3,767439,0
acceptbutton,744335,1,582892,0
access-control,710402,1,632143,0
access-data-project,635203,1,635203,1
access-denied,830662,1,831241,0
access-email,695137,0,695137,0
access-keys,657734,0,657734,0
access-library,950142,1,950142,1
access-modifiers,595179,4,653512,0
access-vba,952196,2,574587,0
access-violation,641328,4,652153,0
access-violation-exceptn,648134,1,627355,0
accessibility,897157,7,573074,0
accessor,670202,2,711321,0
accessors,623618,4,895340,2
accessviolationexception,596413,1,649183,0
accordion,637179,2,571341,0
account,711849,1,602829,-1
account-management,902844,1,756726,0
accounting,773801,6,702897,0
accounts,597142,2,612454,1
accpac,723028,2,723028,2
accumulators,936025,0,936025,0
accuracy,842245,8,897108,3
accurate,844879,3,844879,3
accurev,587860,1,587860,1
ace,760522,4,709145,0
ace-tao,756611,0,756611,0
acegi,876028,2,631217,0
achievements,885277,1,885277,1
acid,580321,4,580321,4
ack,667471,2,931036,0
acl,580584,2,570097,0
acm,822531,5,822531,5
acmûgraphics,789508,1,789508,1
acpi,955209,3,591940,0
acrobat,809442,5,564817,0
acrobat-9,564817,0,564817,0
acronym,759708,1,759708,1
acropolis,902414,0,902414,0
acs-keyline,566258,0,566258,0
act,684846,1,684846,1
action,593205,2,800800,-1
action-controller,810150,0,810150,0
action-mailer,741989,0,741989,0
actioncontroller,798917,1,884574,0
actiondispatcher,675285,0,675285,0
actionfilter,888965,5,815795,0
actionlink,596444,3,761288,0
actionlinks,864794,1,864794,1
actionlistener,580228,0,580228,0
actionmailer,798917,1,826095,0
actionresult,878695,4,842913,-1
actions,851371,2,803331,1
actionscript,563747,6,702880,-2
actionscript2,680725,2,589226,0
actionscript3,563747,6,704039,-3
actionview,727300,3,657629,0
activate,857563,0,857563,0
activated,781514,2,781514,2
activation,960954,1,759464,0
activator,614863,1,887140,0
active,661250,3,585779,0
active-directory,663402,6,572304,0
active-record,608713,2,762458,0
active-script,777687,0,777687,0
active-window,893669,1,893669,1
activecollab,719303,1,719303,1
activedirectory,920954,2,863869,0
activemerchant,678525,3,884940,0
activemq,731233,4,603542,0
activeperl,807855,0,807855,0
activerecord,722667,8,671663,-2
activereports,668328,2,946457,0
activeresource,826691,3,686691,0
activescaffold,874329,1,870375,0
activestate,747613,0,747613,0
activesupport,958669,2,683989,1
activesync,721710,2,727723,0
activetcl,913745,0,913745,0
activex,615766,9,587975,0
activex-exe,650841,2,584987,1
activity,667233,2,593234,0
actors,568727,3,792638,-1
acts-as-ferret,746310,0,746310,0
acts-as-state-machine,682920,2,682920,2
acts-as-versioned,604895,4,594705,1
