Tag,aid_highest,Highest_Answer_Rating,aid_lowest,Lowest_Answer_Rating
100-continue,848707,3,848652,-1
10g,589053,3,589051,0
11g,704288,0,704288,0
12,904120,2,904079,0
128-bit,741371,10,741336,0
12bit,833649,1,832977,0
141,769601,1,776307,0
16bit,684543,6,684560,-1
2005,811957,1,811990,0
2007,852138,4,852138,4
2008,811957,1,928569,-1
2009,904369,2,904368,0
2038,839826,5,839830,3
24-bit,742387,3,839319,0
2d,667090,9,567242,-2
2d-array,789657,10,684467,0
2û0,734935,4,564945,0
2û3û2,887772,1,683458,0
2û5û2,680222,4,680226,-1
3,806881,2,813919,0
3-tier,858627,2,868848,0
301,934343,4,643527,0
301-redirect,748147,4,696248,0
304,691348,4,928623,0
32bit,783669,9,882105,-1
37-signals,619302,1,619302,1
3d,849450,9,916693,-2
3d-games,928934,6,928939,-1
3d-studio,757186,2,757186,2
3dcamera,754158,1,754088,0
3dgraphics,829512,6,583193,-1
3dxml,596818,3,596747,0
3gp,604789,2,580415,1
3nf,902399,1,729904,0
3rd-party-controls,807558,1,807570,0
3rd-party-library,728031,3,657238,0
3rdparty,762802,1,762591,0
3û0,607557,4,800815,-3
3û5,778697,4,598393,0
401,804919,2,581122,0
404,667068,10,595262,0
4d,577610,6,577598,0
4gl,854519,0,854519,0
4k,859153,3,859203,1
4nf,729904,0,729904,0
4û0,894563,9,894566,2
500,758789,0,758789,0
500-error,684178,5,680116,0
503,703725,1,612401,0
5th-generation-langs,644931,8,644925,0
5û0û12,700877,3,700877,3
64bit,651960,24,833266,-3
68hc12,758109,4,758109,4
7zip,619935,1,619935,1
80-column,845302,3,845448,1
8051,745583,6,755034,-1
9,845347,1,845347,1
960,589195,5,724925,-2
9û0,709322,4,714872,1
a-records,663190,3,663176,0
a-star,843189,7,837142,0
a2p,768047,5,768047,5
a4j,868938,2,673816,-1
aac,837172,2,807654,0
aam,701207,3,701117,1
aasm,721407,2,682966,0
ab-testing,753597,5,826401,0
abap,613352,11,613362,0
abbreviation,914045,7,843001,0
abc,672884,0,672884,0
abcpdf,756131,8,612679,0
abi,827926,5,621826,0
abiword,658994,1,658987,0
abort,879931,11,895295,0
aborted,825212,2,806236,0
aborting,673038,3,673039,1
about,744208,1,585722,0
about-box,738211,7,738198,0
absolute,904066,13,904060,0
absolute-path,567632,1,602304,0
absolute-positioning,654178,15,654666,0
absolute-value,749577,6,751403,0
abstract,613335,15,616765,-1
abstract-class,602675,18,651896,-1
abstract-syntax-tree,912140,2,905665,1
abstractapplicationcontex,957982,1,957982,1
abstraction,568782,28,802818,-4
abstraction-violations,597373,1,597433,0
abuse,572122,10,572121,0
academia,573283,22,573662,-2
academic,675134,8,675115,1
academic-interest,887645,6,671987,1
accelerator,721674,3,722618,0
accelerometer,849544,6,722618,0
accent,659202,1,659202,1
accents,609682,3,609710,0
accept,584537,1,584518,0
acceptance,934096,1,934155,0
acceptance-testing,877865,5,618124,0
acceptbutton,582913,5,772580,0
access-control,635251,3,910090,-1
access-data-project,637230,1,635326,0
access-denied,898002,1,830781,0
access-email,697806,0,697806,0
access-keys,660870,1,660870,1
access-library,953485,0,953485,0
access-modifiers,761864,14,761899,-1
access-vba,682958,3,894858,-3
access-violation,652191,4,641340,0
access-violation-exceptn,627403,15,648157,0
accessibility,898329,9,882907,-5
accessor,619399,5,619400,0
accessors,895360,7,895369,0
accessviolationexception,649371,8,649876,0
accordion,704022,3,588125,0
account,612939,2,945931,-1
account-management,902850,2,756738,0
accounting,773857,3,671440,0
accounts,612464,7,612491,0
accpac,723116,2,723116,2
accumulators,936037,0,936037,0
accuracy,842358,10,842260,0
accurate,844897,1,844905,0
accurev,588146,0,588146,0
ace,761143,3,709478,0
ace-tao,760535,0,760535,0
acegi,881301,3,628451,0
achievements,885523,1,885523,1
acid,580373,3,580442,0
ack,667748,7,839222,0
acl,839657,4,580592,0
acm,822559,7,822561,1
acmûgraphics,789519,4,789519,4
acpi,642073,7,591996,0
acrobat,583724,1,656505,0
acrobat-9,583724,1,656505,0
acronym,759752,1,759720,0
acropolis,902436,2,903342,0
acs-keyline,566307,0,566307,0
act,688332,1,688332,1
action,593223,5,603036,-2
action-controller,815309,1,817499,0
action-mailer,742022,2,866213,0
actioncontroller,799383,3,799149,0
actiondispatcher,675460,2,675308,1
actionfilter,815819,4,687031,0
actionlink,579432,3,717724,-1
actionlinks,868415,2,868415,2
actionlistener,580241,3,755742,0
actionmailer,799383,3,799149,0
actionresult,878727,4,649571,0
actions,803344,1,803417,0
actionscript,599586,19,610712,-2
actionscript2,709178,3,796698,-1
actionscript3,563980,11,599357,-3
actionview,727350,3,788747,0
activate,953973,0,953973,0
activated,781633,4,781579,1
activation,961019,4,759498,0
activator,614887,6,614891,0
active,661321,5,608476,0
active-directory,663426,10,786086,-2
active-record,608763,5,609120,-1
active-script,779407,1,780517,0
active-window,893702,1,893702,1
activecollab,719318,2,722312,0
