tag,qid_highest,highest_question_viewcount,qid_lowest,lowest_question_viewcount
100-continue,848378,91,879120,68
10g,589043,366,589043,366
11g,704272,26,704272,26
12,903994,53,903994,53
128-bit,741301,426,741301,426
12bit,832932,60,832932,60
141,769564,90,769564,90
16bit,684540,177,755447,44
2005,811940,139,949435,9
2007,852068,87,852068,87
2008,703074,203,900114,19
2009,904356,267,904356,267
2038,839755,142,839755,142
24-bit,742236,758,839257,24
2d,622471,679,903589,40
2d-array,766590,232,817394,123
2û0,867109,350,847737,18
2û3û2,663893,443,679313,126
2û5û2,680207,80,680207,80
3,844177,87,820707,25
3-tier,907240,102,935346,33
301,696446,175,689139,36
301-redirect,681869,148,959396,21
304,691318,98,924456,22
32bit,711472,729,918953,39
37-signals,619192,69,619192,69
3d,707985,694,945112,14
3d-games,928925,132,928925,132
3d-studio,757145,69,757145,69
3dcamera,754060,124,800562,62
3dgraphics,724219,466,956716,26
3dxml,596666,245,596666,245
3gp,580392,424,604782,65
3nf,729837,70,880734,67
3rd-party-controls,807545,82,807545,82
3rd-party-library,666597,217,721698,61
3rdparty,762450,79,762450,79
3û0,746393,318,913877,49
3û5,778678,745,894252,15
401,798266,816,936523,39
404,583922,357,833662,21
4d,577516,282,808017,10
4gl,851797,19,851797,19
4k,859082,103,859082,103
4nf,729837,70,729837,70
4û0,894543,175,894543,175
500,698740,149,698740,149
500-error,573325,159,679962,73
503,612242,264,703702,208
5th-generation-langs,644915,236,644915,236
5û0û12,700779,93,700779,93
64bit,782053,1610,797455,25
68hc12,758051,75,758051,75
7zip,619910,215,619910,215
80-column,845222,52,845222,52
8051,745544,329,899633,238
9,845340,30,845340,30
960,589184,700,865390,38
9û0,709303,172,709303,172
a-records,663142,56,663142,56
a-star,796384,168,828559,32
a2p,767270,58,767270,58
a4j,673670,427,868916,48
aac,836842,99,804552,30
aam,701096,104,701096,104
aasm,734718,269,635129,103
ab-testing,752919,164,826298,24
abap,633548,308,626932,52
abbreviation,809620,148,914032,118
abc,672367,95,672367,95
abcpdf,756127,556,608724,130
abi,612443,731,827862,148
abiword,658833,84,658833,84
abort,879896,242,898901,63
aborted,806229,89,806229,89
aborting,673031,341,673031,341
about,585679,98,744153,64
about-box,738192,163,738192,163
absolute,904046,72,636959,69
absolute-path,567590,378,822310,20
absolute-positioning,654134,357,854416,32
absolute-value,872424,117,916332,66
abstract,606321,361,871476,30
abstract-class,650091,859,882532,36
abstract-syntax-tree,911930,96,905438,35
abstractapplicationcontex,957769,23,957769,23
abstraction,639592,1074,790041,47
abstraction-violations,597353,174,597353,174
abuse,572113,714,572113,714
academia,573254,1432,800473,62
academic,675090,141,946580,40
academic-interest,887616,84,665609,58
accelerator,722600,154,960269,21
accelerometer,651630,196,826933,37
accent,659076,107,659076,107
accents,609676,154,587242,117
accept,584423,153,938174,23
acceptance,934077,81,934077,81
acceptance-testing,642329,227,882187,52
acceptbutton,784167,120,744335,61
access-control,632143,184,869812,37
access-data-project,635203,882,635203,882
access-denied,830662,123,831241,65
access-email,695137,97,695137,97
access-keys,657734,60,657734,60
access-library,950142,32,950142,32
access-modifiers,614818,832,903325,38
access-vba,581223,485,946441,16
access-violation,820299,241,955444,31
access-violation-exceptn,648134,186,627355,166
accessibility,739267,1080,828109,15
accessor,619396,527,711321,39
accessors,623618,212,895340,95
accessviolationexception,596413,498,841992,52
accordion,587329,1480,820946,40
account,584964,119,945904,48
account-management,756726,77,902844,56
accounting,773801,183,797701,42
accounts,612454,315,597142,96
accpac,723028,32,723028,32
accumulators,936025,75,936025,75
accuracy,842245,413,897108,103
accurate,844879,92,844879,92
accurev,587860,56,587860,56
ace,760522,360,756611,53
ace-tao,756611,53,756611,53
acegi,628416,272,883720,23
achievements,885277,39,885277,39
acid,580321,152,580321,152
ack,667471,340,931036,16
acl,580584,255,927624,10
acm,822531,293,822531,293
acmûgraphics,789508,88,789508,88
acpi,642058,365,955209,46
acrobat,619158,533,730554,46
acrobat-9,564817,67,564817,67
acronym,759708,221,759708,221
acropolis,902414,48,902414,48
acs-keyline,566258,87,566258,87
act,684846,41,684846,41
action,784527,273,847737,18
action-controller,810150,158,810150,158
action-mailer,741989,44,863226,21
actioncontroller,884574,101,954708,17
actiondispatcher,675285,43,675285,43
actionfilter,686753,323,933798,30
actionlink,596444,458,951990,18
actionlinks,864794,63,864794,63
actionlistener,580228,131,580228,131
actionmailer,798917,80,826095,18
actionresult,649409,136,842913,51
actions,803331,119,851371,88
actionscript,602057,1357,894356,13
actionscript2,709107,311,944895,11
actionscript3,618966,761,944895,11
actionview,657629,187,756888,59
activate,857563,22,857563,22
activated,781514,77,781514,77
activation,782325,57,960954,45
activator,614863,99,926729,6
active,661250,470,901914,26
active-directory,637486,1840,775000,13
active-record,608713,200,762458,51
active-script,777687,27,777687,27
active-window,893669,19,893669,19
activecollab,719303,247,719303,247
activedirectory,920954,97,863869,16
activemerchant,678525,97,884940,33
activemq,731233,438,777001,21
activeperl,807855,190,807855,190
activerecord,742700,590,960402,11
activereports,668328,434,946457,27
activeresource,602162,131,837344,13
activescaffold,870375,52,934931,8
activestate,747613,34,747613,34
activesupport,683989,163,958669,29
activesync,721710,183,727723,34
activetcl,913745,37,913745,37
activex,569950,579,961246,7
activex-exe,584987,179,650841,120
activity,593234,1038,905504,28
actors,568727,278,954520,31
acts-as-ferret,746310,59,746310,59
acts-as-state-machine,682920,141,682920,141
acts-as-versioned,594705,252,604895,105
actualwidth,951171,10,951171,10
ad,642738,152,924893,27
ad-hoc,567741,314,736660,85
ad-rotation,563706,478,563706,478
ada,611323,217,772852,29
adam,716898,199,775000,13
adapter,706605,126,746663,38
adapter-pattern,696350,175,696350,175
adaptor,870681,41,870681,41
adaûcalendarûtime,639643,131,639643,131
adblock,604304,185,916284,39
adc,602744,203,892723,61
add,685717,615,758506,51
add-in,654185,368,938400,13
add-on,918605,306,848956,42
add-type,688152,112,688152,112
addchild,725143,129,877871,31
addclass,820170,165,820170,165
added,682280,136,682280,136
addeventlistener,780951,543,787047,37
addhandler,941000,44,941000,44
addiction,844739,151,844739,151
addin,912486,66,912486,66
adding,794163,187,619588,40
addins,702870,150,709050,32
addition,754685,66,754685,66
addmessagefilter,919301,15,919301,15
addmodelerror,720471,43,720471,43
addobserver,714896,86,714896,86
addon,705460,76,844765,51
addons,789505,165,789505,165
addremoveprograms,740347,65,957127,51
address,578406,499,953150,19
address-bar,573225,64,573225,64
address-book,716256,305,563621,88
addressbook,836190,150,836190,150
addresses,689736,53,689736,53
addressof,641081,390,641081,390
adfs,847304,48,775000,13
adjacency-list,748155,162,608329,105
adler32,802039,127,827634,33
admin,672431,690,931922,12
administration,601247,614,861148,43
administration-console,835069,80,835069,80
administrator,667381,854,922822,65
ado,566596,586,912827,11
ado-net-data-services,815743,36,815743,36
ado-net-dataservices,914244,91,637397,72
adobe,619158,533,948783,15
adobe-acrobat,770473,79,693462,44
adobe-air,574344,531,960235,13
adobe-flex-3,633705,247,852783,13
adobe-reader,619158,533,770473,79
adodb,724468,229,851837,35
adodbapi,854008,88,854008,88
adonetappender,616729,108,616729,108
adoption,817607,105,705768,57
adorner,583808,178,764682,50
adornerlayer,764682,50,764682,50
adornment,593391,79,593391,79
adoûnet,627768,1427,934699,10
adoûnet-data-services,610197,219,776473,20
adoûnet-entity-data-model,745341,307,846929,35
adoûnet-entity-framework,745341,307,943951,20
adplus,831499,52,946717,8
ads,604960,158,911356,21
adsense,839478,110,956372,26
adserver,659209,46,659209,46
adsi,614601,177,922472,27
adt,851571,29,851571,29
adts,699414,248,804552,30
advanced,935951,1154,701666,76
advanceddatagrid,768812,459,714150,33
advantage,799175,375,734310,40
advantage-database-server,822232,34,822232,34
adventureworks,597830,119,881507,62
advertised-shortcut,748540,99,748540,99
advertising,563706,478,899777,30
advice,935951,1154,742789,27
advocacy,900149,469,900149,469
adwords,597371,97,956747,35
aegis,681129,175,681129,175
aero,643440,340,913845,54
aes,667887,494,933483,47
aescryptoserviceprovider,957388,38,957388,38
aesthetics,611111,325,694775,137
affinetransform,690871,150,682770,103
affinity,628057,506,859747,99
aforge,749241,131,749241,131
afp,852614,161,628078,62
after,843031,240,843031,240
afx,914448,40,914448,40
agent,568727,278,916644,48
